Customer,Customer_ANID,Is CSC,Created Date,Invoice #,Reference,Currency,Amount,Disputed Amount,Routing Status,Invoice Status Date,Status Comments,Invoice Status,Submitted By,Receiving Method,Origin,Source Document,Submission Method,Invoice Type,Payload ID,Copied,Signed
"Meijer","AN01039871965","No","19 Mar 2025 12:16:48 AM GMT-04:00","9423056682A","0501014915","USD","75.11","",Acknowledged,"19 Mar 2025 12:21:08 AM GMT-04:00","Line item: 	Line Number:1	Part Number:954339	Description:AIRBRUSH ONLY,F/A2000	Exceptions: 		PO Received Quantity Variance (Complete the receiving, or reject the invoice to dispute quantity and have supplier resubmit)	The invoice item's quantity, 1, is greater than the order item's received quantity, 0.
",Sent,,cXML,,,cXML,Single PO,20250319.001643.9423056682@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:47 AM GMT-04:00","9423054968A","0501012058","USD","34.52","",Acknowledged,"19 Mar 2025 12:21:13 AM GMT-04:00","Line item: 	Line Number:1	Part Number:946845	Description:BOWL,3QT,OVAL,15"" X13"",METRO,DRIFTWOOD	Exceptions: 		PO Received Quantity Variance (Complete the receiving, or reject the invoice to dispute quantity and have supplier resubmit)	The invoice item's quantity, 1, is greater than the order item's received quantity, 0.
",Sent,,cXML,,,cXML,Single PO,20250319.001642.9423054968@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:47 AM GMT-04:00","9423055870A","0500986735","USD","1,156.33","",Acknowledged,"19 Mar 2025 12:21:09 AM GMT-04:00","Line item: 	Line Number:1	Part Number:395926	Description:DIVIDER,30X12,SHELF,WIRE,VINYL,WHITE	Exceptions: 		PO Received Quantity Variance (Complete the receiving, or reject the invoice to dispute quantity and have supplier resubmit)	The invoice item's quantity, 56, is greater than the order item's received quantity, 0.
",Sent,,cXML,,,cXML,Single PO,20250319.001645.9423055870@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:46 AM GMT-04:00","9423056681A","0501013689","USD","295.49","",Acknowledged,"19 Mar 2025 12:29:13 AM GMT-04:00","",Approved,,cXML,,,cXML,Single PO,20250319.001645.9423056681@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:46 AM GMT-04:00","9423056679A","0501011708","USD","284.10","",Acknowledged,"19 Mar 2025 12:21:18 AM GMT-04:00","",Approved,,cXML,,,cXML,Single PO,20250319.001643.9423056679@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:46 AM GMT-04:00","9423058411A","0501016096","USD","82.63","",Acknowledged,"19 Mar 2025 12:21:14 AM GMT-04:00","Line item: 	Line Number:1	Part Number:114105	Description:PAPER,FILTER,ENVLPE,20.5X13.5,1.25"" HOLE	Exceptions: 		PO Received Quantity Variance (Complete the receiving, or reject the invoice to dispute quantity and have supplier resubmit)	The invoice item's quantity, 1, is greater than the order item's received quantity, 0.
",Sent,,cXML,,,cXML,Single PO,20250319.001643.9423058411@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:46 AM GMT-04:00","9423054973A","0501015313","USD","9.09","",Acknowledged,"19 Mar 2025 12:21:11 AM GMT-04:00","",Approved,,cXML,,,cXML,Single PO,20250319.001643.9423054973@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:45 AM GMT-04:00","9423055872A","0501016470","USD","99.38","",Acknowledged,"19 Mar 2025 12:21:15 AM GMT-04:00","Line item: 	Line Number:1	Part Number:311550	Description:PAPER,FILTER,FRY,17-1/8""X24-1/8""	Exceptions: 		PO Received Quantity Variance (Complete the receiving, or reject the invoice to dispute quantity and have supplier resubmit)	The invoice item's quantity, 1, is greater than the order item's received quantity, 0.
",Sent,,cXML,,,cXML,Single PO,20250319.001642.9423055872@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:44 AM GMT-04:00","9423056680A","0501012012","USD","102.56","",Acknowledged,"19 Mar 2025 12:21:11 AM GMT-04:00","",Approved,,cXML,,,cXML,Single PO,20250319.001642.9423056680@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:43 AM GMT-04:00","9423055869A","0501015346","USD","37.07","",Failed,"19 Mar 2025 12:16:52 AM GMT-04:00","",Rejected,,cXML,,,cXML,Single PO,20250319.001641.9423055869@Wasserstrom.com,No,No
"Meijer","AN01039871965","No","19 Mar 2025 12:16:43 AM GMT-04:00","9423054975A","0500971897","USD","82.50","",Acknowledged,"19 Mar 2025 12:21:15 AM GMT-04:00","Line item: 	Line Number:1	Part Number:137147	Description:TRAY,TURN-N-SERVE,DEEP,10DIA X2-1/2D,	Exceptions: 		PO Received Quantity Variance (Complete the receiving, or reject the invoice to dispute quantity and have supplier resubmit)	The invoice item's quantity, 3, is greater than the order item's received quantity, 0.
",Sent,,cXML,,,cXML,Single PO,20250319.001641.9423054975@Wasserstrom.com,No,No
