Customer,Customer_ANID,Is CSC,Created Date,Invoice #,Reference,Currency,Amount,Disputed Amount,Routing Status,Invoice Status Date,Status Comments,Invoice Status,Submitted By,Receiving Method,Origin,Source Document,Submission Method,Invoice Type,Payload ID,Copied,Signed
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:55:32 PM GMT-05:00","9423828396","5500000822","USD","644.78","",Acknowledged,"17 Nov 2025 6:55:50 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763423732639-5788121948802011423@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:52:52 PM GMT-05:00","9423809748","5500000564","USD","14,560.00","",Acknowledged,"17 Nov 2025 6:53:11 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763423572773-7811557450172886296@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:51:01 PM GMT-05:00","9423775952","5500000546","USD","6,860.00","",Acknowledged,"17 Nov 2025 6:51:28 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763423461394-1537753404013233174@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:47:22 PM GMT-05:00","9423781111","5500000563","USD","8,657.00","",Acknowledged,"17 Nov 2025 6:47:35 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763423242766-2324197990786021908@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:46:24 PM GMT-05:00","9423775788","5500000563","USD","1,178.52","",Acknowledged,"17 Nov 2025 6:46:38 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763423184542-3991727341942509542@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:45:25 PM GMT-05:00","9423770563","5500000563","USD","5,201.65","",Acknowledged,"17 Nov 2025 6:45:53 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763423125539-5397901585236251648@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:43:29 PM GMT-05:00","9423770650","5500000546","USD","6,860.00","",Acknowledged,"17 Nov 2025 6:43:48 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763423009561-4732090270083416822@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:39:32 PM GMT-05:00","9423754162","5500000542","USD","14,560.00","",Acknowledged,"17 Nov 2025 6:39:45 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763422772478-6192979087788835812@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:32:42 PM GMT-05:00","9423711971","5500000517","USD","444.39","",Acknowledged,"17 Nov 2025 6:32:53 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763422362419-5150754029786296071@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:30:14 PM GMT-05:00","9423712135","5500000527","USD","6,447.36","",Acknowledged,"17 Nov 2025 6:30:29 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763422214943-3734445538912081070@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:28:02 PM GMT-05:00","9423676245","5500000523","USD","971.17","",Acknowledged,"17 Nov 2025 6:28:17 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763422082452-8056969578335954283@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:26:16 PM GMT-05:00","9423676322","5500000516","USD","204.99","",Acknowledged,"17 Nov 2025 6:26:28 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763421976633-3063288423032089578@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:23:29 PM GMT-05:00","9423676243","5500000472","USD","357.39","",Acknowledged,"17 Nov 2025 6:23:42 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763421809258-9070232429626129233@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:21:21 PM GMT-05:00","9423662718","5500000483","USD","2,405.00","",Acknowledged,"17 Nov 2025 6:21:55 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763421681735-6544303747748359964@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:17:39 PM GMT-05:00","9423690894","5500000241","USD","6,860.00","",Acknowledged,"17 Nov 2025 6:17:58 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763421459219-7324197698206711799@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 6:16:22 PM GMT-05:00","9423640679","5500000241","USD","6,860.00","",Acknowledged,"17 Nov 2025 6:16:38 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763421382974-3040826910850203553@10.209.37.50,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 3:29:40 PM GMT-05:00","9423640260","5500000292","USD","4,480.08","",Acknowledged,"17 Nov 2025 3:29:57 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763411379939-592142166592075837@10.209.37.65,No,No
"Verano Holdings, LLC","AN11208838933","No","17 Nov 2025 3:28:02 PM GMT-05:00","9423640226","5500000292","USD","14,560.00","",Acknowledged,"17 Nov 2025 3:28:18 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763411282331-702017149215493791@10.209.37.65,No,No
"Verano Holdings, LLC","AN11208838933","No","14 Nov 2025 12:33:35 PM GMT-05:00","9423514952","5500000057","USD","10,117.30","",Acknowledged,"14 Nov 2025 12:33:50 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763141614961-2072123524328896703@10.209.37.118,No,No
"Verano Holdings, LLC","AN11208838933","No","14 Nov 2025 12:30:43 PM GMT-05:00","9423476500","5500000062","USD","4,158.59","",Acknowledged,"14 Nov 2025 12:31:35 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763141442755-667462183892974457@10.209.37.118,No,No
"Verano Holdings, LLC","AN11208838933","No","14 Nov 2025 11:38:17 AM GMT-05:00","9423566761","5500000075","USD","364.56","",Acknowledged,"14 Nov 2025 11:38:34 AM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763138296973-2258660456418360370@10.209.37.118,No,No
"Verano Holdings, LLC","AN11208838933","No","14 Nov 2025 11:37:21 AM GMT-05:00","9423471486","5500000075","USD","364.56","",Acknowledged,"14 Nov 2025 11:37:36 AM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763138241257-6724049753790418520@10.209.37.118,No,No
"Verano Holdings, LLC","AN11208838933","No","14 Nov 2025 11:36:17 AM GMT-05:00","9423466401","5500000075","USD","251.17","",Acknowledged,"14 Nov 2025 11:36:58 AM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1763138177071-6318201436141644951@10.209.37.118,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 4:40:21 PM GMT-05:00","9423906349","5500000930","USD","3,363.89","",Acknowledged,"12 Nov 2025 4:40:37 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762983621410-1322661013188107266@10.209.37.56,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 1:16:25 PM GMT-05:00","9423796045W","5500000607","USD","14,560.00","",Acknowledged,"12 Nov 2025 1:16:35 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762971385122-6009111557759924629@10.209.37.76,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 1:15:40 PM GMT-05:00","Tax Credit Memo 9423953722","5500000607","USD","-15,652.00","",Acknowledged,"12 Nov 2025 1:15:52 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762971340752-6875228750631990177@10.209.37.76,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 1:14:41 PM GMT-05:00","9423796034W","5500000607","USD","15,778.00","",Acknowledged,"12 Nov 2025 1:15:02 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762971281033-4631321218453388729@10.209.37.76,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 1:13:47 PM GMT-05:00","Tax Credit Memo 9423953720","5500000607","USD","-16,961.35","",Acknowledged,"12 Nov 2025 1:14:14 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762971227359-3774951224642787571@10.209.37.76,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 1:11:53 PM GMT-05:00","9423796033W","5500000607","USD","12,485.26","",Acknowledged,"12 Nov 2025 1:12:44 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762971113800-4798829644884143469@10.209.37.76,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 1:07:49 PM GMT-05:00","Tax Credit Memo 9423953718","5500000607","USD","-12,751.85","",Acknowledged,"12 Nov 2025 1:08:06 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762970869089-4740811575284867113@10.209.37.76,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 12:39:35 PM GMT-05:00","9423764854W","5500000595","USD","3,655.00","",Acknowledged,"12 Nov 2025 12:39:51 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762969175782-1020172355129263362@10.209.37.76,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 12:36:24 PM GMT-05:00","Tax Credit Memo 9423953764","5500000595","USD","-3,670.10","",Acknowledged,"12 Nov 2025 12:36:45 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762968984627-7206084660263311315@10.209.37.76,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 12:29:10 PM GMT-05:00","9423650989W","5500000335","USD","2,893.00","",Acknowledged,"12 Nov 2025 12:29:24 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762968550237-5556157956057031261@10.209.37.92,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 12:28:17 PM GMT-05:00","9423650989 Credit - Freight Processing","5500000335","USD","-2,568.00","",Acknowledged,"12 Nov 2025 12:28:35 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762968496856-3183758475200397873@10.209.37.92,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 12:19:29 PM GMT-05:00","Tax Credit Memo 9423791869","5500000416","USD","-1,002.00","",Acknowledged,"12 Nov 2025 12:19:43 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762967969286-1447307882528297960@10.209.37.92,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 12:11:16 PM GMT-05:00","9423583252W","5500000278","USD","3,122.89","",Acknowledged,"12 Nov 2025 12:11:32 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762967476247-8767724053555012637@10.209.37.92,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 12:05:11 PM GMT-05:00","Tax Credit Memo 9423770527","5500000278","USD","-3,124.37","",Acknowledged,"12 Nov 2025 12:05:58 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762967110924-938226966455101654@10.209.37.92,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 11:49:11 AM GMT-05:00","Tax Credit Memo 9423770516","5500000240","USD","-111.87","",Acknowledged,"12 Nov 2025 11:49:37 AM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762966151338-8834422680100248618@10.209.37.92,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 11:42:56 AM GMT-05:00","Tax Credit Memo 9423770517","5500000240","USD","-847.83","",Acknowledged,"12 Nov 2025 11:43:27 AM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762965776178-4599734337647589453@10.209.37.92,No,No
"Verano Holdings, LLC","AN11208838933","No","12 Nov 2025 11:10:24 AM GMT-05:00","9423791875","5500000194","USD","-102.57","",Acknowledged,"12 Nov 2025 11:12:23 AM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762963824557-3868969289129811035@10.209.37.92,No,No
"Verano Holdings, LLC","AN11208838933","No","10 Nov 2025 3:07:06 PM GMT-05:00","9423796048W","5500000795","USD","262.87","",Acknowledged,"10 Nov 2025 3:07:21 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762805226469-362748250954469187@10.209.37.67,No,No
"Verano Holdings, LLC","AN11208838933","No","10 Nov 2025 3:06:20 PM GMT-05:00","9423796048CR","5500000795","USD","-237.60","",Acknowledged,"10 Nov 2025 3:06:34 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762805180194-7781293838971687586@10.209.37.67,No,No
"Verano Holdings, LLC","AN11208838933","No","10 Nov 2025 3:04:55 PM GMT-05:00","9423759863W","5500000668","USD","9,659.06","",Acknowledged,"10 Nov 2025 3:05:11 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762805094934-2757109904636001179@10.209.37.67,No,No
"Verano Holdings, LLC","AN11208838933","No","10 Nov 2025 3:04:23 PM GMT-05:00","9423759863CR","5500000668","USD","-9,454.06","",Acknowledged,"10 Nov 2025 3:04:36 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762805063774-1364819402995695329@10.209.37.67,No,No
"Verano Holdings, LLC","AN11208838933","No","10 Nov 2025 3:00:23 PM GMT-05:00","9423759757W","5500000645","USD","8,943.61","",Acknowledged,"10 Nov 2025 3:01:03 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762804823088-3845941856663287023@10.209.37.67,No,No
"Verano Holdings, LLC","AN11208838933","No","10 Nov 2025 2:59:43 PM GMT-05:00","9423759757CR","5500000645","USD","-8,943.61","",Acknowledged,"10 Nov 2025 2:59:58 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762804783720-2759912632862576693@10.209.37.67,No,No
"Verano Holdings, LLC","AN11208838933","No","10 Nov 2025 2:58:40 PM GMT-05:00","9423759758W","5500000644","USD","3,937.00","",Acknowledged,"10 Nov 2025 2:58:57 PM GMT-05:00","Success",Sent,Wasserstrom Wasserstrom,Online,Supplier,Order,Online,Single PO,1762804720319-8885124184326038796@10.209.37.67,No,No
